,model,lookback,epsilon,epsilon_decay,decay_limit,learning_rate,discount_rate,epochs,tr_cooperation_percentage,tr_defection_percentage,tr_final_loss,tr_mean_reward,tr_cumul_reward,tr_cumul_regret,tn_rank,tn_mean_score,tn_mean_time,agents
49,,4,0.05,0.0,0.05,0.001,0.99,2500,0.91842125,0.08157875,,2.83744675,11349787.0,650213.0,25,711.0106451612903,2.829194999999999,"TitForTat,TidemanAndChieruzzi,Borufsen,SecondByGraaskampKatzen,Nydegger,Grofman,Shubik,Pavlov"
50,,4,0.05,0.0,0.05,0.01,0.95,2500,0.7232,0.2768,,2.4154735,9661894.0,2338106.0,3,789.7267741935484,3.063953,"TitForTat,TidemanAndChieruzzi,Borufsen,SecondByGraaskampKatzen,Nydegger,Grofman,Shubik,Pavlov"
51,,4,0.05,0.0,0.05,0.01,0.99,2500,0.904322,0.095678,,2.54847125,10193885.0,1806115.0,16,758.4561290322581,2.9464199999999994,"TitForTat,TidemanAndChieruzzi,Borufsen,SecondByGraaskampKatzen,Nydegger,Grofman,Shubik,Pavlov"
52,,4,0.05,0.0,0.05,0.05,0.95,2500,0.36825725,0.63174275,,2.28527625,9141105.0,2858895.0,19,756.5832258064517,2.899499,"TitForTat,TidemanAndChieruzzi,Borufsen,SecondByGraaskampKatzen,Nydegger,Grofman,Shubik,Pavlov"
53,,4,0.05,0.0,0.05,0.05,0.99,2500,0.5740395,0.4259605,,2.392909,9571636.0,2428364.0,18,763.3425806451613,2.965912,"TitForTat,TidemanAndChieruzzi,Borufsen,SecondByGraaskampKatzen,Nydegger,Grofman,Shubik,Pavlov"
54,,4,0.05,0.0,0.05,0.1,0.95,2500,0.30595325,0.69404675,,2.2557325,9022930.0,2977070.0,25,717.6283870967742,2.886838,"TitForTat,TidemanAndChieruzzi,Borufsen,SecondByGraaskampKatzen,Nydegger,Grofman,Shubik,Pavlov"
55,,4,0.05,0.0,0.05,0.1,0.99,2500,0.477984,0.522016,,2.32195575,9287823.0,2712177.0,12,760.2354838709678,2.944445,"TitForTat,TidemanAndChieruzzi,Borufsen,SecondByGraaskampKatzen,Nydegger,Grofman,Shubik,Pavlov"
56,,4,0.1,0.0,0.05,0.001,0.95,2500,0.787433,0.212567,,2.303821,9215284.0,2784716.0,16,766.6858064516128,2.96396,"TitForTat,TidemanAndChieruzzi,Borufsen,SecondByGraaskampKatzen,Nydegger,Grofman,Shubik,Pavlov"
57,,4,0.1,0.0,0.05,0.001,0.99,2500,0.93755875,0.06244125,,2.57599225,10303969.0,1696031.0,15,767.1551612903226,2.9922799999999987,"TitForTat,TidemanAndChieruzzi,Borufsen,SecondByGraaskampKatzen,Nydegger,Grofman,Shubik,Pavlov"
58,,4,0.1,0.0,0.05,0.01,0.95,2500,0.35707425,0.64292575,,2.17242325,8689693.0,3310307.0,17,753.705806451613,2.8292009999999994,"TitForTat,TidemanAndChieruzzi,Borufsen,SecondByGraaskampKatzen,Nydegger,Grofman,Shubik,Pavlov"
