,ModelType,agents,discount_rate,epsilon,epsilon_decay,hidden_size,learning_rate,lookback,n1,n2,num_layers,tn_mean_score,tn_mean_time,tn_rank,tr_cooperation_percentage,tr_cumul_regret,tr_cumul_reward,tr_defection_percentage,tr_final_loss,tr_mean_reward
82,DQN,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",0.99,0.05,0.0,,0.01,6,4,,,436.1693548,33.022273,31,0.087071429,393279,446721,0.912928571,0.703549886,1.595432143
83,DQN,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",0.95,0.1,0.0,,0.01,6,4,,,463.05,35.179197,27,0.122060714,366625,473375,0.877939286,0.593789028,1.690625
84,DQN,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",0.99,0.1,0.0,,0.01,6,4,,,700.8612903,17.007918,25,0.928167857,143169,696831,0.071832143,2.078430949,2.488682143
85,DQN,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",0.95,0.2,0.0,,0.01,6,4,,,468.2758065,34.504474,27,0.458246429,277234,562766,0.541753571,1.53176407,2.009878571
86,DQN,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",0.99,0.2,0.0,,0.01,6,4,,,427.8129032,32.377088,30,0.699125,227605,612395,0.300875,0.952812583,2.187125
87,DQN,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",0.95,0.05,0.0,,0.01,6,64,,,714.8483871,20.236861,22,0.974978571,121031,718969,0.025021429,2.14432063,2.567746429
88,DQN,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",0.99,0.05,0.0,,0.01,6,64,,,723.2225806,18.752012,24,0.975075,122357,717643,0.024925,2.141579535,2.563010714
89,DQN,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",0.95,0.1,0.0,,0.01,6,64,,,467.983871,30.296816,27,0.113053571,366608,473392,0.886946429,0.598890869,1.690685714
90,DQN,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",0.99,0.1,0.0,,0.01,6,64,,,746.383871,18.597063,18,0.949264286,135089,704911,0.050735714,2.108646934,2.517539286
91,DQN,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",0.95,0.2,0.0,,0.01,6,64,,,656.183871,18.581809,25,0.900082143,181846,658154,0.099917857,1.973886953,2.35055
92,DQN,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",0.99,0.2,0.0,,0.01,6,64,,,738.9822581,23.780584,20,0.899975,183071,656929,0.100025,1.969916328,2.346175
93,DQN,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",0.95,0.05,0.0,,0.01,6,128,,,711.5016129,19.324776,23,0.9633,123920,716080,0.0367,2.073769159,2.557428571
94,DQN,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",0.99,0.05,0.0,,0.01,6,128,,,725.5241935,20.598593,23,0.975496429,121377,718623,0.024503571,2.144478194,2.566510714
95,DQN,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",0.95,0.1,0.0,,0.01,6,128,,,713.7,21.95881,25,0.949439286,136199,703801,0.050560714,2.10530651,2.513575
96,DQN,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",0.99,0.1,0.0,,0.01,6,128,,,690.6145161,18.247263,25,0.949675,136440,703560,0.050325,2.104189575,2.512714286
97,DQN,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",0.95,0.2,0.0,,0.01,6,128,,,746.5467742,19.16891,19,0.899792857,180418,659582,0.100207143,1.978364099,2.35565
98,DQN,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",0.99,0.2,0.0,,0.01,6,128,,,741.8290323,22.92531,20,0.900710714,179236,660764,0.099289286,1.981728729,2.359871429
