,id,tn_score,tn_time,p_c,p_d
42,Stoc12,773.1233076923077,0.5890156000000002,0.05267317549035444,0.07755129521549853
43,Stoc13,657.4416923076923,0.4221701307692307,0.2915797654428822,0.42910648709025245
44,Stoc14,571.6100769230769,0.4284528461538461,0.6379562634849124,0.5139572207394456
45,Stoc15,573.6680769230769,0.3668352846153845,0.6378942632096583,0.5388301182178494
46,Stoc16,560.2830769230769,0.39559617307692324,0.7273127814738221,0.5232308827454561
47,Stoc17,615.8510769230769,0.4506079423076924,0.9638238344613758,0.253691405500279
48,Stoc18,747.7455384615384,0.4373325576923075,0.013708538678532611,0.34919877946711275
49,Stoc19,689.3408461538462,0.4084682500000002,0.09515999172232226,0.48558417914053753
50,Stoc20,725.9613846153846,0.5547353846153846,0.18234072172810833,0.12387171775059513
51,Stoc21,662.4524615384615,0.5779810923076923,0.6140006535813999,0.032000056023056445
